"b_start","series","rate","panel","analysis_model","chrono_key","measure"
25,"B",0.8187625,"Big stick design (a = 3)","ttest","stepwise","Power"
37,"B",0.8988875,"Big stick design (a = 3)","ttest","stepwise","Power"
49,"B",0.94615,"Big stick design (a = 3)","ttest","stepwise","Power"
1,"B",0.6031625,"Big stick design (a = 3)","lm_time","stepwise","Power"
13,"B",0.620075,"Big stick design (a = 3)","lm_time","stepwise","Power"
25,"B",0.6354375,"Big stick design (a = 3)","lm_time","stepwise","Power"
37,"B",0.6287625,"Big stick design (a = 3)","lm_time","stepwise","Power"
49,"B",0.6083125,"Big stick design (a = 3)","lm_time","stepwise","Power"
1,"B",0.597475,"Complete randomization","ttest","stepwise","Power"
13,"B",0.7138125,"Complete randomization","ttest","stepwise","Power"
25,"B",0.81375,"Complete randomization","ttest","stepwise","Power"
37,"B",0.890025,"Complete randomization","ttest","stepwise","Power"
49,"B",0.941175,"Complete randomization","ttest","stepwise","Power"
1,"B",0.5958375,"Complete randomization","lm_time","stepwise","Power"
13,"B",0.6085875,"Complete randomization","lm_time","stepwise","Power"
25,"B",0.6211375,"Complete randomization","lm_time","stepwise","Power"
37,"B",0.6175625,"Complete randomization","lm_time","stepwise","Power"
49,"B",0.597225,"Complete randomization","lm_time","stepwise","Power"
1,"B",0.5916625,"Permuted block randomization (factor = 1)","ttest","inv_u","Power"
13,"B",0.6936,"Permuted block randomization (factor = 1)","ttest","inv_u","Power"
25,"B",0.7435,"Permuted block randomization (factor = 1)","ttest","inv_u","Power"
37,"B",0.752475,"Permuted block randomization (factor = 1)","ttest","inv_u","Power"
49,"B",0.7255375,"Permuted block randomization (factor = 1)","ttest","inv_u","Power"
1,"B",0.5972875,"Permuted block randomization (factor = 1)","lm_time","inv_u","Power"
13,"B",0.6251375,"Permuted block randomization (factor = 1)","lm_time","inv_u","Power"
25,"B",0.6354625,"Permuted block randomization (factor = 1)","lm_time","inv_u","Power"
37,"B",0.6321375,"Permuted block randomization (factor = 1)","lm_time","inv_u","Power"
49,"B",0.6050125,"Permuted block randomization (factor = 1)","lm_time","inv_u","Power"
1,"B",0.5959875,"Big stick design (a = 3)","ttest","inv_u","Power"
13,"B",0.6881125,"Big stick design (a = 3)","ttest","inv_u","Power"
25,"B",0.7429625,"Big stick design (a = 3)","ttest","inv_u","Power"
37,"B",0.749075,"Big stick design (a = 3)","ttest","inv_u","Power"
49,"B",0.7222,"Big stick design (a = 3)","ttest","inv_u","Power"
1,"B",0.595675,"Big stick design (a = 3)","lm_time","inv_u","Power"
13,"B",0.62,"Big stick design (a = 3)","lm_time","inv_u","Power"
25,"B",0.6316625,"Big stick design (a = 3)","lm_time","inv_u","Power"
37,"B",0.6286,"Big stick design (a = 3)","lm_time","inv_u","Power"
49,"B",0.60155,"Big stick design (a = 3)","lm_time","inv_u","Power"
1,"B",0.58755,"Complete randomization","ttest","inv_u","Power"
13,"B",0.684325,"Complete randomization","ttest","inv_u","Power"
25,"B",0.73675,"Complete randomization","ttest","inv_u","Power"
37,"B",0.7452625,"Complete randomization","ttest","inv_u","Power"
49,"B",0.71685,"Complete randomization","ttest","inv_u","Power"
1,"B",0.58615,"Complete randomization","lm_time","inv_u","Power"
13,"B",0.6068125,"Complete randomization","lm_time","inv_u","Power"
25,"B",0.61925,"Complete randomization","lm_time","inv_u","Power"
37,"B",0.6157,"Complete randomization","lm_time","inv_u","Power"
49,"B",0.59295,"Complete randomization","lm_time","inv_u","Power"
1,"B",0.487275,"Permuted block randomization (factor = 1)","ttest","seasonal","Power"
13,"B",0.4106375,"Permuted block randomization (factor = 1)","ttest","seasonal","Power"
25,"B",0.2671875,"Permuted block randomization (factor = 1)","ttest","seasonal","Power"
37,"B",0.4059875,"Permuted block randomization (factor = 1)","ttest","seasonal","Power"
49,"B",0.613025,"Permuted block randomization (factor = 1)","ttest","seasonal","Power"
1,"B",0.4898875,"Permuted block randomization (factor = 1)","lm_time","seasonal","Power"
13,"B",0.51695,"Permuted block randomization (factor = 1)","lm_time","seasonal","Power"
25,"B",0.5314125,"Permuted block randomization (factor = 1)","lm_time","seasonal","Power"
37,"B",0.4990875,"Permuted block randomization (factor = 1)","lm_time","seasonal","Power"
49,"B",0.4749,"Permuted block randomization (factor = 1)","lm_time","seasonal","Power"
1,"B",0.4885125,"Big stick design (a = 3)","ttest","seasonal","Power"
13,"B",0.4135875,"Big stick design (a = 3)","ttest","seasonal","Power"
25,"B",0.2780375,"Big stick design (a = 3)","ttest","seasonal","Power"
37,"B",0.4093125,"Big stick design (a = 3)","ttest","seasonal","Power"
49,"B",0.6092125,"Big stick design (a = 3)","ttest","seasonal","Power"
1,"B",0.4847125,"Big stick design (a = 3)","lm_time","seasonal","Power"
13,"B",0.5121875,"Big stick design (a = 3)","lm_time","seasonal","Power"
25,"B",0.5221125,"Big stick design (a = 3)","lm_time","seasonal","Power"
37,"B",0.4853375,"Big stick design (a = 3)","lm_time","seasonal","Power"
49,"B",0.4754125,"Big stick design (a = 3)","lm_time","seasonal","Power"
1,"B",0.481625,"Complete randomization","ttest","seasonal","Power"
13,"B",0.42015,"Complete randomization","ttest","seasonal","Power"
25,"B",0.29595,"Complete randomization","ttest","seasonal","Power"
37,"B",0.4231375,"Complete randomization","ttest","seasonal","Power"
49,"B",0.5957875,"Complete randomization","ttest","seasonal","Power"
1,"B",0.477475,"Complete randomization","lm_time","seasonal","Power"
13,"B",0.4919875,"Complete randomization","lm_time","seasonal","Power"
25,"B",0.5016875,"Complete randomization","lm_time","seasonal","Power"
37,"B",0.4729,"Complete randomization","lm_time","seasonal","Power"
49,"B",0.47175,"Complete randomization","lm_time","seasonal","Power"
