"b_start","series","rate","panel","analysis_model","chrono_key","measure"
37,"B",0.0031625,"Permuted block randomization (factor = 1)","ttest","seasonal","Type I error"
49,"B",0.011575,"Permuted block randomization (factor = 1)","ttest","seasonal","Type I error"
1,"B",0.0129875,"Permuted block randomization (factor = 1)","lm_time","seasonal","Type I error"
13,"B",0.0133,"Permuted block randomization (factor = 1)","lm_time","seasonal","Type I error"
25,"B",0.0129,"Permuted block randomization (factor = 1)","lm_time","seasonal","Type I error"
37,"B",0.0113,"Permuted block randomization (factor = 1)","lm_time","seasonal","Type I error"
49,"B",0.010675,"Permuted block randomization (factor = 1)","lm_time","seasonal","Type I error"
1,"B",0.0180625,"Big stick design (a = 3)","ttest","seasonal","Type I error"
13,"B",0.00795,"Big stick design (a = 3)","ttest","seasonal","Type I error"
25,"B",0.0021375,"Big stick design (a = 3)","ttest","seasonal","Type I error"
37,"B",0.0050125,"Big stick design (a = 3)","ttest","seasonal","Type I error"
49,"B",0.0145625,"Big stick design (a = 3)","ttest","seasonal","Type I error"
1,"B",0.016975,"Big stick design (a = 3)","lm_time","seasonal","Type I error"
13,"B",0.0184625,"Big stick design (a = 3)","lm_time","seasonal","Type I error"
25,"B",0.018375,"Big stick design (a = 3)","lm_time","seasonal","Type I error"
37,"B",0.0155375,"Big stick design (a = 3)","lm_time","seasonal","Type I error"
49,"B",0.0141375,"Big stick design (a = 3)","lm_time","seasonal","Type I error"
1,"B",0.0255625,"Complete randomization","ttest","seasonal","Type I error"
13,"B",0.0125,"Complete randomization","ttest","seasonal","Type I error"
25,"B",0.004275,"Complete randomization","ttest","seasonal","Type I error"
37,"B",0.0095375,"Complete randomization","ttest","seasonal","Type I error"
49,"B",0.02295,"Complete randomization","ttest","seasonal","Type I error"
1,"B",0.02495,"Complete randomization","lm_time","seasonal","Type I error"
13,"B",0.0245125,"Complete randomization","lm_time","seasonal","Type I error"
25,"B",0.023975,"Complete randomization","lm_time","seasonal","Type I error"
37,"B",0.0230375,"Complete randomization","lm_time","seasonal","Type I error"
49,"B",0.0250375,"Complete randomization","lm_time","seasonal","Type I error"
